category,prompt
Security,What does financial security mean to you?
Security,When do you feel most financially safe?
Security,What would 'enough' in the bank look like for you?
Security,What money worry sits quietest in the back of your mind?
Spending & Enjoying,When do you feel most comfortable spending money?
Spending & Enjoying,How should we decide what's worth spending money on?
Spending & Enjoying,What's a purchase you've never regretted?
Spending & Enjoying,"Where do you find it hardest to spend, even when you can?"
Dreams & Goals,What financial goal are you most proud of?
Dreams & Goals,"If we had an extra $50,000 tomorrow, what would you want to do with it?"
Dreams & Goals,What does financial freedom look like for you?
Dreams & Goals,What's one thing you'd love our money to make possible in five years?
Money Habits,What financial habits did you learn growing up?
Money Habits,What's one money habit you'd like to change?
Money Habits,How often do you like to check in on money?
Money Habits,What money task do you always put off?
Giving,What does generosity mean to you?
Giving,Who or what would you love to be able to support?
Giving,How do you feel when we give money away?
Giving,Is there a cause you'd want our money to stand behind?
Legacy,What kind of financial legacy do you hope we leave?
Legacy,What do you want money to make possible for the people after us?
Legacy,What did the generation before us teach us about money — for better or worse?
Legacy,What would you want our children to learn about money from us?
